"R","m","logLik","K","AICc","dAICc"
"diagonal and unequal",2,-413.290239326577,44,923.704902616288,0
"diagonal and equal",2,-459.395203884289,30,982.942193482864,59.2372908665752
"equalvarcov",2,-459.382920808365,31,985.204320363934,61.4994177476453
"unconstrained",2,-290.987109918587,149,1015.84048123535,92.135578619062
"unconstrained",1,-321.326617883514,135,1019.70862935303,96.0037267367461
"diagonal and unequal",1,-520.286715616325,30,1104.72521694694,181.020314330648
"equalvarcov",1,-557.055345216877,17,1149.4382392407,225.733336624407
"diagonal and equal",1,-559.178996008416,16,1151.53548119432,227.830578578033
