"R","m","logLik","K","AICc","dAICc"
"diagonal and unequal",2,-428.952253192942,29,918.710957998788,0
"unconstrained",2,-379.635786521577,74,926.575920869242,7.86496287045429
"diagonal and equal",2,-499.763828947518,20,1040.8631109952,122.152152996408
"equalvarcov",2,-499.444343118732,21,1042.36002381708,123.649065818295
"unconstrained",1,-455.439251830016,65,1055.57028448195,136.859326483163
"diagonal and unequal",1,-576.145481925107,20,1193.62641695037,274.915458951584
"equalvarcov",1,-637.969690823706,12,1300.42917756578,381.718219566992
"diagonal and equal",1,-644.716507691701,11,1311.84680848685,393.135850488063
