"year","name","value"
1966,"dungeness",1.22174001021642
1967,"pink",1.84990103444549
1967,"walleye.pollock",1.58278065543507
1967,"slope.rockfish",3.30981987063635
1967,"sockeye",1.84582001051142
1967,"pacific.halibut",2.28150953867302
1967,"chum",1.76755761217654
1967,"pacific.herring",1.45841341031385
1967,"shrimp",2.06993325272959
1967,"sablefish",1.57432767093815
1967,"pacific.cod",1.22132853443192
1967,"king.crab",2.29106959840677
1967,"coho",1.45582756076337
1967,"tanner.crab",0.47753019278348
1967,"other.flatfish",1.46066479949889
1967,"atka.mackerel",0
1967,"dungeness",1.49385118416867
1968,"pink",2.97523199473616
1968,"walleye.pollock",1.57567141923348
1968,"slope.rockfish",3.163620772243
1968,"sockeye",1.95339622341904
1968,"pacific.halibut",2.1926235775719
1968,"chum",2.03634118539185
1968,"pacific.herring",1.367195830195
1968,"shrimp",2.02556801548085
1968,"sablefish",1.9695948977639
1968,"pacific.cod",1.01130678532464
1968,"king.crab",1.91026424360807
1968,"coho",1.69462652015622
1968,"tanner.crab",1.15376119859506
1968,"other.flatfish",1.35720660621773
1968,"atka.mackerel",0
1968,"dungeness",1.50811902837701
1969,"pink",2.59927996950098
1969,"walleye.pollock",2.04685858213688
1969,"slope.rockfish",2.91738074063752
1969,"sockeye",1.98159114148366
1969,"pacific.halibut",2.28545687441876
1969,"chum",1.66898117428396
1969,"pacific.herring",1.49445076333179
1969,"shrimp",2.12928920463027
1969,"sablefish",2.09805095417531
1969,"pacific.cod",1.07490557763421
1969,"king.crab",1.65111158733206
1969,"coho",1.32433111474114
1969,"tanner.crab",1.41013004578057
1969,"other.flatfish",1.27347064120956
1969,"atka.mackerel",0
1969,"dungeness",1.42478932842454
1970,"pink",2.7490449571478
1970,"walleye.pollock",1.74832266288991
1970,"slope.rockfish",2.58883935896039
1970,"sockeye",2.12607078614173
1970,"pacific.halibut",2.2752315204747
1970,"chum",2.11656413729306
1970,"pacific.herring",1.66650197559077
1970,"shrimp",2.35877333440698
1970,"sablefish",2.23930324783232
1970,"pacific.cod",1.15909571833151
1970,"king.crab",1.62149882842702
1970,"coho",1.47419348103633
1970,"tanner.crab",1.47776994843954
1970,"other.flatfish",1.39361534930182
1970,"atka.mackerel",0
